Institution Name,State abbreviation (HD2023),Control of institution (HD2023),"Grand total (All students, Undergraduate total)",Conscientiousness,Resilience/Grit,Adaptability,Self Direction,Growth Mindset,Cognitive Readiness,Communication,Quantitative Reasoning
Abilene Christian University-Undergraduate Online,TX,2,918,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Abraham Lincoln University,CA,3,49,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Academy College,MN,3,118,82,2,16,52,40,Unavailable,Unavailable,Unavailable
Academy of Art University,CA,3,4191,20,99,2,21,20,Unavailable,Unavailable,Unavailable
Adams State University,CO,1,1576,34,17,2,8,7,Unavailable,Unavailable,Unavailable
Alaska Pacific University,AK,2,437,37,62,4,24,18,Unavailable,Unavailable,Unavailable
Albany State University,GA,1,6018,29,41,2,17,22,Unavailable,Unavailable,Unavailable
Albertus Magnus College,CT,2,892,58,23,11,25,20,Unavailable,Unavailable,Unavailable
Albion College,MI,2,1354,60,20,1,9,4,Unavailable,Unavailable,Unavailable
Albizu University-Miami,FL,2,226,53,114,0,28,15,Unavailable,Unavailable,Unavailable
Albright College,PA,2,1328,52,5,2,9,2,Unavailable,Unavailable,Unavailable
Allen University,SC,2,635,9,44,2,21,32,Unavailable,Unavailable,Unavailable
Alliant International University-San Diego,CA,3,355,63,7,4,25,0,Unavailable,Unavailable,Unavailable
Alma College,MI,2,1235,63,11,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Alverno College,WI,2,887,50,55,5,21,27,Unavailable,Unavailable,Unavailable
American Academy of Art College,IL,3,90,43,31,9,29,38,Unavailable,Unavailable,Unavailable
American Baptist College,TN,2,48,17,8,0,21,0,Unavailable,Unavailable,Unavailable
American InterContinental University System,AZ,3,6830,12,17,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
American InterContinental University-Atlanta,GA,3,670,25,7,11,26,3,Unavailable,Unavailable,Unavailable
American InterContinental University-Houston,TX,3,124,28,5,13,39,20,Unavailable,Unavailable,Unavailable
American International College,MA,2,1331,45,20,4,16,22,Unavailable,Unavailable,Unavailable
American Public University System,WV,3,40478,21,30,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Ana G. Mendez University,FL,2,4915,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Antioch College,OH,2,127,29,37,1,7,3,Unavailable,Unavailable,Unavailable
Arizona Christian University,AZ,2,1210,42,10,4,13,14,Unavailable,Unavailable,Unavailable
Arizona State University Campus Immersion,AZ,1,65174,63,20,9,26,28,Unavailable,Unavailable,Unavailable
Arkansas Baptist College,AR,2,373,28,3,0,11,8,Unavailable,Unavailable,Unavailable
Arlington Baptist University,TX,2,268,36,70,3,23,35,Unavailable,Unavailable,Unavailable
Art Center College of Design,CA,2,2079,62,100,5,25,37,Unavailable,Unavailable,Unavailable
Asbury University,KY,2,1638,57,22,7,16,13,Unavailable,Unavailable,Unavailable
Ashford University,CA,3,24949,17,76,0,22,2,Unavailable,Unavailable,Unavailable
Assumption University,MA,2,1688,70,5,1,13,2,Unavailable,Unavailable,Unavailable
Atlantis University,FL,3,313,65,0,9,21,0,Unavailable,Unavailable,Unavailable
Augsburg University,MN,2,2445,56,23,4,14,12,Unavailable,Unavailable,Unavailable
Ave Maria University,FL,2,1250,60,8,12,34,42,Unavailable,Unavailable,Unavailable
Baptist University of the Americas,TX,2,98,61,57,9,44,37,Unavailable,Unavailable,Unavailable
Barclay College,KS,2,163,49,32,6,16,7,Unavailable,Unavailable,Unavailable
Barry University,FL,2,3150,45,37,1,7,6,Unavailable,Unavailable,Unavailable
Beacon College,FL,2,527,60,35,2,12,7,Unavailable,Unavailable,Unavailable
Bellevue University,NE,2,11096,46,21,8,22,2,Unavailable,Unavailable,Unavailable
Benedictine University,IL,2,1842,55,18,6,22,26,Unavailable,Unavailable,Unavailable
Berkeley College-New York,NY,3,1756,33,14,8,21,11,Unavailable,Unavailable,Unavailable
Berkeley College-Woodland Park,NJ,3,1900,48,11,11,27,14,Unavailable,Unavailable,Unavailable
Berklee College of Music,MA,2,7608,54,22,8,19,14,Unavailable,Unavailable,Unavailable
Bethany College,KS,2,637,39,10,3,10,12,Unavailable,Unavailable,Unavailable
Bethany College,WV,2,645,41,21,1,6,6,Unavailable,Unavailable,Unavailable
Bethesda University,CA,2,212,20,22,5,33,39,Unavailable,Unavailable,Unavailable
Beulah Heights University,GA,2,158,6,33,2,36,22,Unavailable,Unavailable,Unavailable
Blackburn College,IL,2,389,45,19,3,10,4,Unavailable,Unavailable,Unavailable
Bluefield University,VA,2,694,54,11,9,26,30,Unavailable,Unavailable,Unavailable
Bob Jones University,SC,2,2477,65,10,3,15,9,Unavailable,Unavailable,Unavailable
Boise State University,ID,1,23491,51,46,5,18,26,Unavailable,Unavailable,Unavailable
Boricua College,NY,2,401,47,120,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Boston Architectural College,MA,2,306,43,64,9,29,29,Unavailable,Unavailable,Unavailable
Brescia University,KY,2,551,40,30,8,21,22,Unavailable,Unavailable,Unavailable
Brewton-Parker College,GA,2,1049,19,49,1,13,19,Unavailable,Unavailable,Unavailable
Briar Cliff University,IA,2,737,58,14,6,17,15,Unavailable,Unavailable,Unavailable
Bridges Christian College,LA,2,110,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Bryan College-Dayton,TN,2,1398,57,16,4,12,11,Unavailable,Unavailable,Unavailable
Caldwell University,NJ,2,1448,55,14,6,20,22,Unavailable,Unavailable,Unavailable
California Aeronautical University,CA,3,383,Unavailable,Unavailable,Unavailable,Unavailable,32,Unavailable,Unavailable,Unavailable
California Baptist University,CA,2,8110,54,34,7,21,22,Unavailable,Unavailable,Unavailable
California College of ASU,CA,2,149,56,21,3,12,3,Unavailable,Unavailable,Unavailable
California College of the Arts,CA,2,1012,62,37,2,11,6,Unavailable,Unavailable,Unavailable
